0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:29:31 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:30:07 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 4640
127.0.0.1 - - [17/Dec/2013:14:34:03 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:34:04 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4728
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:14:34:29 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 5198
127.0.0.1 - - [17/Dec/2013:15:53:21 +0100] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:53:23 +0100] "GET /Grasshopper/index.jsp HTTP/1.1" 200 4970
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:53:24 +0100] "GET /Grasshopper/images/back.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:53:24 +0100] "GET /Grasshopper/fonts/YanoneKaffeesatz-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:53:24 +0100] "GET /Grasshopper/fonts/NewsCycle-Regular.ttf HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:41 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:41 +0100] "GET /Grasshopper/invalidLogin.jsp HTTP/1.1" 200 4487
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:42 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:42 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:42 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:42 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:42 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "GET /Grasshopper/invalidLogin.jsp HTTP/1.1" 200 4487
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:54:56 +0100] "POST /Grasshopper/Login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:55:42 +0100] "POST /Grasshopper/Login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:55:42 +0100] "GET /Grasshopper/userLogged.jsp HTTP/1.1" 200 4220
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:55:42 +0100] "GET /Grasshopper/js/jquery.sooperfish.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:55:42 +0100] "GET /Grasshopper/js/modernizr-1.5.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:55:42 +0100] "GET /Grasshopper/js/jquery.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:55:42 +0100] "GET /Grasshopper/js/jquery.easing-sooper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:55:42 +0100] "GET /Grasshopper/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1%0 - - [17/Dec/2013:15:56:01 +0100] "GET /Grasshopper/TVBAnsicht HTTP/1.1" 200 5178
127.0.0.1 - - [17/Dec/2013:15:57:50 +0100] "GET / HTTP/1.1" 404 951
